Driver,Team,OverallElo,DryElo,WetDelta
VER,Red Bull Racing,2040,2032,18
HAM,Ferrari,1985,1970,25
NOR,McLaren,1965,1960,12
ALO,Aston Martin,1915,1900,30
LEC,Ferrari,1910,1918,-8
RUS,Mercedes,1895,1888,14
PIA,McLaren,1890,1895,-10
SAI,Williams,1810,1812,-4
ALB,Williams,1775,1768,14
GAS,Alpine,1710,1708,5
OCO,Haas F1 Team,1695,1692,4
HUL,Kick Sauber,1685,1692,-12
LAW,Red Bull Racing,1670,1665,8
ANT,Mercedes,1660,1650,15
HAD,Racing Bulls,1645,1648,-4
BEA,Haas F1 Team,1640,1635,8
TSU,Racing Bulls,1620,1615,6
STR,Aston Martin,1530,1515,28
BOR,Kick Sauber,1480,1480,0
DOO,Alpine,1450,1448,2
